,Rank,Country,Population18,Population17,Growth Rate,Area,2018 Density,%
136,137,Mongolia,3121.772,3075.647,1.0149968445663629,1564110,1.99587752779536,0.0
137,138,Albania,2934.363,2930.187,1.0014251650150656,28748,102.07190065395855,0.0
138,139,Armenia,2934.152,2930.45,1.0012632872084493,29743,98.65016978784924,0.0
139,140,Jamaica,2898.677,2890.2990000000004,1.0028986620415394,10991,263.73187153125286,0.0
140,141,Lithuania,2876.475,2890.297,0.9952177924967572,65300,44.050153139356816,0.0
141,142,Qatar,2694.849,2639.211,1.021081300434107,11586,232.59528741584668,0.0
142,143,Namibia,2587.801,2533.794,1.02131467672589,825615,3.134391938130969,0.0
143,144,Botswana,2333.201,2291.661,1.0181265902766596,582000,4.008936426116838,0.0
144,145,Lesotho,2263.01,2233.339,1.013285488678611,30355,74.55147422170977,0.0
145,146,Gambia,2163.765,2100.568,1.0300856720658411,10689,202.42913275329778,0.0
146,147,Macedonia,2085.051,2083.16,1.0009077555252597,25713,81.08937113522343,0.0
147,148,Slovenia,2081.26,2079.976,1.000617314815171,20273,102.66166822867856,0.0
148,149,Gabon,2067.561,2025.137,1.0209487061862974,267668,7.724348820180224,0.0
149,150,Latvia,1929.938,1949.67,0.9898793129093639,64559,29.894174321163586,0.0
150,151,Guinea-Bissau,1907.268,1861.283,1.0247060763999885,36125,52.79634602076124,0.0
151,152,Bahrain,1566.993,1492.5839999999996,1.0498524706147192,765,2048.356862745098,0.0
152,153,Swaziland,1391.385,1367.254,1.0176492443978955,17364,80.1304422944022,0.0
153,154,Trinidad and Tobago,1372.598,1369.125,1.002536656623756,5130,267.56296296296296,0.0
154,155,Timor-Leste,1324.094,1296.311,1.0214323568958374,14874,89.02070727443864,0.0
155,156,Equatorial Guinea,1313.894,1267.689,1.0364482140335682,28051,46.83947096360201,0.0
156,157,Estonia,1306.788,1309.632,0.9978283975956604,45227,28.893979260176444,0.0
157,158,Mauritius,1268.315,1265.138,1.0025111885027562,2040,621.7230392156863,0.0
158,159,Cyprus,1189.085,1179.5510000000004,1.0080827365667104,9251,128.53583396389578,0.0
159,160,Djibouti,971.408,956.985,1.0150712916085414,23200,41.871034482758624,0.0
160,161,Fiji,912.241,905.502,1.007442280635493,18272,49.92562390542908,0.0
161,162,Reunion,883.247,876.562,1.0076263858118422,2511,351.7510951812027,0.0
162,163,Comoros,832.347,813.9119999999998,1.022649868781883,1862,447.0177228786251,0.0
163,164,Bhutan,817.054,807.61,1.0116937630787135,38394,21.28077303745377,0.0
164,165,Guyana,782.225,777.8589999999998,1.005612842430312,214969,3.638780475324349,0.0
165,166,Macau,632.418,622.567,1.0158231965394888,30,21080.6,0.0
166,167,Montenegro,629.219,628.96,1.0004117908929029,13812,45.55596582681726,0.0
167,168,Solomon Islands,623.281,611.3430000000002,1.019527499292541,28896,21.569802048726462,0.0
168,169,Luxembourg,590.321,583.455,1.0117678312809042,2586,228.27571539056459,0.0
169,170,Suriname,568.3009999999998,563.4019999999998,1.0086953897927236,163820,3.4690575021364904,0.0
170,171,Western Sahara,567.4209999999998,552.628,1.0267684590719253,266000,2.1331616541353378,0.0
171,172,Cape Verde,553.335,546.388,1.012714408076312,4033,137.20183486238528,0.0
172,173,Guadeloupe,449.173,449.568,0.999121378745818,1628,275.90479115479116,0.0
173,174,Maldives,444.259,436.33,1.018172025760319,300,1480.8633333333332,0.0
174,175,Brunei,434.076,428.697,1.012547323634175,5765,75.29505637467477,0.0
175,176,Malta,432.089,430.835,1.0029106270381931,316,1367.370253164557,0.0
176,177,Bahamas,399.285,395.361,1.0099251064217258,13943,28.63695044108155,0.0
177,178,Martinique,385.065,384.896,1.0004390796474891,1128,341.3696808510638,0.0
178,179,Belize,382.444,374.681,1.0207189582604936,22966,16.652616911956805,0.0
179,180,Iceland,337.78,335.025,1.008223266920379,103000,3.2794174757281547,0.0
180,181,French Guiana,289.763,282.731,1.0248716978329224,83534,3.4688031220820266,0.0
181,182,Barbados,286.388,285.719,1.0023414613658874,430,666.0186046511627,0.0
182,183,French Polynesia,285.8590000000001,283.007,1.010077489249383,4167,68.60067194624432,0.0
183,184,Vanuatu,282.117,276.244,1.021260190266576,12189,23.14521289687423,0.0
184,185,New Caledonia,279.821,276.255,1.0129083636495266,18575,15.064387617765814,0.0
185,186,Mayotte,259.682,253.045,1.0262285364263275,374,694.3368983957221,0.0
